title,yearReleased,runtimeinmins,genre,rating
Bekikang: Ang nanay kong beki,2013,110,Comedy            ,8.5
Bekis on the Run,2021,92,Comedy            ,5.6
Belle Douleur,2019,98,"Drama, Romance            ",7.2
Beloved,1985,112,Drama            ,8.5
Ben & Sam,2010,100,Drama            ,6.6
Ben Delubyo,1998,89,"Action, Drama            ",6.9
Bertud ng putik,2003,105,"Action, Adventure, Drama            ",6.8
Bes and the Beshies,2017,105,Comedy            ,4.9
Best. Partee. Ever.,2016,120,Drama            ,7.4
Between Maybes,2019,107,"Drama, Romance            ",6.2
Beyond Atlantis,1973,91,"Action, Adventure, Fantasy            ",4.2
Beyond the Call of Duty,1992,85,"Action, Adventure, War            ",3.8
BFF: Best Friends Forever,2009,101,Comedy            ,4.5
Bhoy Intsik,2017,107,Drama            ,6.0
Big Boy,2011,89,Drama            ,5.2
Big Night,2009,89,Drama            ,5.3
Big Night,2021,105,"Comedy, Drama            ",7.9
Big Time,2005,105,"Action, Comedy            ",7.9
Bigasan,2010,80,Drama            ,6.4
Bihagin: Bilibid Boys,1981,117,"Action, Drama            ",7.1
Bikini Open,2005,109,Comedy            ,6.6
Bikini Watch,1995,103,Comedy            ,2.8
Biktima,1990,114,"Crime, Drama, Horror            ",6.4
Biktima,2012,90,"Drama, Mystery, Thriller            ",7.7
Bilang na ang araw mo,1996,96,"Action, Drama            ",5.9
Bilanggo sa dilim,1986,85,"Drama, Thriller            ",7.9
Bilangin ang bituin sa langit,1989,125,"Drama, Romance            ",8.3
Billie and Emma,2018,107,Romance            ,7.4
Bilog,2005,112,Drama            ,4.3
Bingbong: The Vincent Crisologo Story,1991,120,"Action, Biography, Crime            ",8.2
Binhi,2015,90,Horror            ,4.8
Binyag,2008,64,Drama            ,5.2
Biokids,1990,92,"Action, Fantasy            ",6.1
Birdshot,2016,116,"Drama, Mystery, Thriller            ",6.6
Bitayin si... Baby Ama!,1976,118,"Action, Biography, Crime            ",6.5
Bituing walang ningning,1985,126,"Drama, Musical, Romance            ",7.8
Biyaheng langit,2000,110,"Action, Drama, Romance            ",5.7
Biyaheng lupa,2009,90,Drama            ,7.3
